61,搏击俱乐部,大卫·芬奇 David Fincher,1999,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,饮食男女,李安 Ang Lee,1994,人生不能像做菜，把所有的料都准备好了才下锅。
63,美丽心灵,朗·霍华德 Ron Howard,2001,爱是一切逻辑和原由。
64,本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,在时间之河里感受溺水之苦。
65,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,别样人生。
66,情书,岩井俊二 Shunji Iwai,1995,暗恋的极致。
67,穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
68,两杆大烟枪,Guy Ritchie,1998,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,美丽无罪。
70,看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,你以为你以为的就是你以为的。
71,拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,美利坚精神输出大片No1.
72,音乐之声,罗伯特·怀斯 Robert Wise,1965,用音乐化解仇恨，让歌声串起美好。
73,飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,自由万岁。
74,小鞋子,马基德·马基迪 Majid Majidi,1997,奔跑的孩子是天使。
75,阿凡达,詹姆斯·卡梅隆 James Cameron,2009,绝对意义上的美轮美奂。
76,哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,10年的完美句点。
77,沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,安东尼·霍普金斯的顶级表演。
78,海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,海豚的微笑，是世界上最高明的伪装。
79,致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,孪生蝙蝠侠大战克隆金刚狼。
80,禁闭岛,Martin Scorsese,2010,昔日翩翩少年，今日大腹便便。
81,布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,小清新的故事里注入了大历史的情怀。
82,蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,人的命运被自己瞬间的抉择改变。
83,美国往事,赛尔乔·莱翁内 Sergio Leone,1984,往事如烟，无处祭奠。
84,心灵捕手,格斯·范·桑特 Gus Van Sant,1997,人生中应该拥有这样的一段豁然开朗。
85,低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,故事的高级讲法。
86,春光乍泄,王家卫 Kar Wai Wong,1997,爱情纠缠，男女一致。
87,摩登时代,查理·卓别林 Charles Chaplin,1936,大时代中的人生，小人物的悲喜。
88,七宗罪,大卫·芬奇 David Fincher,1995,警察抓小偷，老鼠玩死猫。
89,喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,我是一个演员。
90,致命ID,詹姆斯·曼高德 James Mangold,2003,最不可能的那个人永远是最可能的。
91,杀人回忆,奉俊昊 Joon-ho Bong,2003,关于连环杀人悬案的集体回忆。
92,功夫,周星驰 Stephen Chow,2004,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
93,哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,2004,不一样的导演，不一样的哈利·波特。
94,超脱,托尼·凯耶 Tony Kaye,2011,穷尽一生，我们要学会的，不过是彼此拥抱。
95,加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,约翰尼·德普的独角戏。
96,被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,以戏谑来戏谑戏谑。
97,红辣椒,今敏 Satoshi Kon,2006,梦的勾结。
98,狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,人言可畏。
99,请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,沉醉在电影的情感和视听氛围中无法自拔。
100,7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,《我是山姆》的《美丽人生》。
101,剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,浪漫忧郁的成人童话。
102,勇敢的心,梅尔·吉布森 Mel Gibson,1995,史诗大片的典范。
103,断背山,李安 Ang Lee,2005,每个人心中都有一座断背山。
104,唐伯虎点秋香,李力持 Lik-Chi Lee,1993,华太师是黄霑，吴镇宇四大才子之一。
105,入殓师,泷田洋二郎 Yôjirô Takita,2008,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
106,天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法式小清新。 
107,第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,深入内心的恐怖，出人意料的结局。
108,哈利·波特与密室,Chris Columbus,2002,魔法的密室之门已打开...
109,重庆森林,王家卫 Kar Wai Wong,1994,寂寞没有期限。
110,爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,缘分是个连绵词，最美不过一瞬。
111,幽灵公主,宫崎骏 Hayao Miyazaki,1997,人与自然的战争史诗。
112,一一,杨德昌 Edward Yang,2000,我们都曾经是一一。
113,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,诺兰就是保证。
114,小森林 夏秋篇,森淳一 Junichi Mori,2014,那些静得只能听见呼吸的日子里，你明白孤独即生活。
115,阳光灿烂的日子,姜文 Wen Jiang,1994,一场华丽的意淫。
116,菊次郎的夏天,北野武 Takeshi Kitano,1999,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,Balalala~~~
118,完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,坏人的好总是比好人的好来得更感人。
119,无人知晓,是枝裕和 Hirokazu Koreeda,2004,我的平常生活就是他人的幸福。
120,消失的爱人,大卫·芬奇 David Fincher,2014,年度最佳date movie。
121,爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
122,小森林 冬春篇,森淳一 Junichi Mori,2015,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
123,倩女幽魂,程小东 Siu-Tung Ching,1987,两张绝世的脸。 
124,借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,曾经的那段美好会沉淀为一辈子的记忆。
125,甜蜜蜜,陈可辛 Peter Chan,1996,相逢只要一瞬间，等待却像是一辈子。
126,侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,少女情怀总是诗。
127,幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,有时候幸福需要等一等。 
128,时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
129,驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,和谐的生活离不开摸头与被摸头。
130,萤火之森,大森贵弘 Takahiro Omori,2011,触不到的恋人。
131,玛丽和马克思,亚当·艾略特 Adam Elliot,2009,你是我最好的朋友，你是我唯一的朋友 。
132,怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,不要给它起名字，起了名字就有感情了。
133,教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,任何信念的力量，都无法改变命运。
134,大鱼,蒂姆·波顿 Tim Burton,2003,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
135,一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,惠及一生的美丽。
136,告白,中岛哲也 Tetsuya Nakashima,2010,没有一人完全善，也没有一人完全恶。
137,玩具总动员3,李·昂克里奇 Lee Unkrich,2010,跨度十五年的欢乐与泪水。
138,傲慢与偏见,乔·怀特 Joe Wright,2005,爱是摈弃傲慢与偏见之后的曙光。
139,神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,Mr. I Don&#39;t Care其实也有Care的时候。
140,阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
141,釜山行,延尚昊 Sang-ho Yeon,2016,揭露人性的丧尸题材力作。
142,射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,百看不厌。 
143,寄生虫,奉俊昊 Joon-ho Bong,2019,热血沸腾，那个低俗、性感的无耻混蛋又来了。
145,未麻的部屋,今敏 Satoshi Kon,1997,好的剧本是，就算你猜到了结局也猜不到全部。
146,恐怖直播,金秉祐 Byeong-woo Kim,2013,恐怖分子的“秋菊打官司”。
147,哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,想你时你在闹海。
148,血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
149,我是山姆,杰茜·尼尔森 Jessie Nelson,2001,爱并不需要智商 。
151,头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,写给影迷，动漫迷和游戏迷的一封情书。
152,新世界,朴勋政 Hoon-jung Park,2013,要做就做得狠一点，这样才能活下去。
153,七武士,黑泽明 Akira Kurosawa,1954,时代悲歌。
154,喜宴,李安 Ang Lee,1993,中国家庭的喜怒哀乐忍。
155,模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
156,黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
157,花样年华,王家卫 Kar Wai Wong,2000,偷情本没有这样美。
158,电锯惊魂,詹姆斯·温 James Wan,2004,真相就在眼前。
159,头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,愿我们都不用长大，每一座城堡都能永远存在。
160,三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,怼天怼地，你走后，她与世界为敌。
161,卢旺达饭店,特瑞·乔治 Terry George,2004,当这个世界闭上双眼，他却敞开了怀抱。
162,你的名字。,新海诚 Makoto Shinkai,2016,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,Jared Leto的腿比女人还美！
164,疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,老少皆宜，这就是好莱坞动画的魅力。
165,上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,被上帝抛弃了的上帝之城。
166,谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,像吃了苏打饼一样干脆的电影。
167,风之谷,宫崎骏 Hayao Miyazaki,1984,动画片的圣经。
168,英雄本色,吴宇森 John Woo,1986,英雄泪短，兄弟情长。 
169,心迷宫,忻钰坤 Yukun Xin,2014,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
170,纵横四海,吴宇森 John Woo,1991,香港浪漫主义警匪动作片的巅峰之作。
171,惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,故事的反转与反转，分裂电影的始祖。
172,九品芝麻官,王晶 Jing Wong,1994,是枝裕和的家庭习作。
174,岁月神偷,罗启锐 Alex Law,2010,岁月流逝，来日可追。
175,记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,一个针管引发的血案。
176,忠犬八公物语,Seijirô Kôyama,1987,养狗三日，便会对你终其一生。
177,荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,始于荒诞，止于更荒诞。
178,绿里奇迹,Frank Darabont,1999,天使暂时离开。
179,爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
180,爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
181,贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
182,小偷家族,是枝裕和 Hirokazu Koreeda,2018,我们组成了家。
183,真爱至上,理查德·柯蒂斯 Richard Curtis,2003,爱，是个动词。
184,东邪西毒,王家卫 Kar Wai Wong,1994,电影诗。
185,无敌破坏王,瑞奇·莫尔 Rich Moore,2012,迪士尼和皮克斯拿错剧本的产物。
186,色，戒,李安 Ang Lee,2007,假戏真情，爱欲深海
187,疯狂的石头,宁浩 Hao Ning,2006,中国版《两杆大烟枪》。
188,冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,松鼠才是角儿。
189,黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,黑暗之美。
190,你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,感情不分食草或者食肉。
191,雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,骨灰级歌舞片。
192,恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,不要企图在重复中寻找已经失去的爱。
193,2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,现代科幻电影的开山之作，最伟大导演的最伟大影片。
194,雨人,巴瑞·莱文森 Barry Levinson,1988,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
195,恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
196,魔女宅急便,宫崎骏 Hayao Miyazaki,1989,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
197,茶馆,谢添 Tian Xie,1982(中国大陆),永远的小人物，伟大的卓别林。
199,萤火虫之墓,高畑勋 Isao Takahata,1988,幸福是生生不息，却难以触及的远。 
200,遗愿清单,罗伯·莱纳 Rob Reiner,2007,用剩余不多的时间，去燃烧整个生命。
